




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	5	1	.06	+	16.12	7.13E-02	1.00E00
PML body organization (GO:0030578)	5	1	.06	+	16.12	7.13E-02	1.00E00
calcitonin family receptor signaling pathway (GO:0097646)	5	1	.06	+	16.12	7.13E-02	1.00E00
negative regulation of anion transmembrane transport (GO:1903960)	5	1	.06	+	16.12	7.13E-02	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	5	1	.06	+	16.12	7.13E-02	1.00E00
cellular response to forskolin (GO:1904322)	5	1	.06	+	16.12	7.13E-02	1.00E00
response to forskolin (GO:1904321)	5	1	.06	+	16.12	7.13E-02	1.00E00
positive regulation of gamma-delta T cell activation (GO:0046645)	5	1	.06	+	16.12	7.13E-02	1.00E00
regulation of gamma-delta T cell activation (GO:0046643)	5	1	.06	+	16.12	7.13E-02	1.00E00
glutathione transport (GO:0034635)	5	1	.06	+	16.12	7.13E-02	1.00E00
regulation of T cell mediated immune response to tumor cell (GO:0002840)	5	1	.06	+	16.12	7.13E-02	1.00E00
T-helper 17 cell differentiation (GO:0072539)	5	1	.06	+	16.12	7.13E-02	1.00E00
meiotic spindle organization (GO:0000212)	11	2	.14	+	14.65	1.07E-02	1.00E00
T cell selection (GO:0045058)	28	5	.35	+	14.39	4.66E-05	6.15E-02
chronic inflammatory response (GO:0002544)	6	1	.07	+	13.43	8.27E-02	1.00E00
facial nerve structural organization (GO:0021612)	6	1	.07	+	13.43	8.27E-02	1.00E00
facial nerve morphogenesis (GO:0021610)	6	1	.07	+	13.43	8.27E-02	1.00E00
cranial nerve structural organization (GO:0021604)	6	1	.07	+	13.43	8.27E-02	1.00E00
facial nerve development (GO:0021561)	6	1	.07	+	13.43	8.27E-02	1.00E00
cell migration in hindbrain (GO:0021535)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of nephron tubule epithelial cell differentiation (GO:0072182)	6	1	.07	+	13.43	8.27E-02	1.00E00
positive regulation of histone H3-K9 acetylation (GO:2000617)	6	1	.07	+	13.43	8.27E-02	1.00E00
negative regulation of cell cycle checkpoint (GO:1901977)	6	1	.07	+	13.43	8.27E-02	1.00E00
positive regulation of endothelial cell chemotaxis (GO:2001028)	6	1	.07	+	13.43	8.27E-02	1.00E00
positive regulation of T-helper 2 cell cytokine production (GO:2000553)	6	1	.07	+	13.43	8.27E-02	1.00E00
anatomical structure regression (GO:0060033)	6	1	.07	+	13.43	8.27E-02	1.00E00
radial glial cell differentiation (GO:0060019)	6	1	.07	+	13.43	8.27E-02	1.00E00
Sertoli cell differentiation (GO:0060008)	6	1	.07	+	13.43	8.27E-02	1.00E00
positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902177)	6	1	.07	+	13.43	8.27E-02	1.00E00
DNA dealkylation involved in DNA repair (GO:0006307)	6	1	.07	+	13.43	8.27E-02	1.00E00
negative thymic T cell selection (GO:0045060)	6	1	.07	+	13.43	8.27E-02	1.00E00
DNA replication, synthesis of RNA primer (GO:0006269)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of glutamine family amino acid metabolic process (GO:0000820)	6	1	.07	+	13.43	8.27E-02	1.00E00
response to interleukin-18 (GO:0070673)	6	1	.07	+	13.43	8.27E-02	1.00E00
post-embryonic animal morphogenesis (GO:0009886)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of ribosome biogenesis (GO:0090069)	6	1	.07	+	13.43	8.27E-02	1.00E00
white fat cell differentiation (GO:0050872)	6	1	.07	+	13.43	8.27E-02	1.00E00
spindle elongation (GO:0051231)	6	1	.07	+	13.43	8.27E-02	1.00E00
mRNA 5'-splice site recognition (GO:0000395)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of secondary metabolic process (GO:0043455)	6	1	.07	+	13.43	8.27E-02	1.00E00
Golgi vesicle budding (GO:0048194)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of secondary metabolite biosynthetic process (GO:1900376)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of melanin biosynthetic process (GO:0048021)	6	1	.07	+	13.43	8.27E-02	1.00E00
R-loop disassembly (GO:0062176)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of amino acid import across plasma membrane (GO:0010958)	6	1	.07	+	13.43	8.27E-02	1.00E00
negative regulation of anion transport (GO:1903792)	6	1	.07	+	13.43	8.27E-02	1.00E00
regulation of amino acid transmembrane transport (GO:1903789)	6	1	.07	+	13.43	8.27E-02	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	12	2	.15	+	13.43	1.23E-02	1.00E00
CD40 signaling pathway (GO:0023035)	6	1	.07	+	13.43	8.27E-02	1.00E00
positive regulation of nuclear cell cycle DNA replication (GO:0010571)	6	1	.07	+	13.43	8.27E-02	1.00E00
type 2 immune response (GO:0042092)	6	1	.07	+	13.43	8.27E-02	1.00E00
positive regulation of dendritic cell cytokine production (GO:0002732)	6	1	.07	+	13.43	8.27E-02	1.00E00
positive T cell selection (GO:0043368)	19	3	.24	+	12.73	2.34E-03	7.19E-01
N-terminal protein amino acid acetylation (GO:0006474)	13	2	.16	+	12.40	1.41E-02	1.00E00
V(D)J recombination (GO:0033151)	13	2	.16	+	12.40	1.41E-02	1.00E00
positive regulation of T cell receptor signaling pathway (GO:0050862)	13	2	.16	+	12.40	1.41E-02	1.00E00
dendritic cell migration (GO:0036336)	13	2	.16	+	12.40	1.41E-02	1.00E00
CD4-positive, alpha-beta T cell differentiation (GO:0043367)	33	5	.41	+	12.21	9.38E-05	1.03E-01
cellular response to interleukin-4 (GO:0071353)	20	3	.25	+	12.09	2.67E-03	7.66E-01
purinergic nucleotide receptor signaling pathway (GO:0035590)	20	3	.25	+	12.09	2.67E-03	7.50E-01
response to interleukin-4 (GO:0070670)	21	3	.26	+	11.51	3.02E-03	7.68E-01
protein hexamerization (GO:0034214)	7	1	.09	+	11.51	9.40E-02	1.00E00
meiotic chromosome condensation (GO:0010032)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of receptor recycling (GO:0001919)	14	2	.17	+	11.51	1.60E-02	1.00E00
lymphoid progenitor cell differentiation (GO:0002320)	7	1	.09	+	11.51	9.40E-02	1.00E00
nephric duct development (GO:0072176)	7	1	.09	+	11.51	9.40E-02	1.00E00
T-helper cell lineage commitment (GO:0002295)	7	1	.09	+	11.51	9.40E-02	1.00E00
positive regulation of T-helper 1 cell cytokine production (GO:2000556)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of T-helper 1 cell cytokine production (GO:2000554)	7	1	.09	+	11.51	9.40E-02	1.00E00
positive regulation of dendritic cell chemotaxis (GO:2000510)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of dendritic cell chemotaxis (GO:2000508)	7	1	.09	+	11.51	9.40E-02	1.00E00
L-serine metabolic process (GO:0006563)	7	1	.09	+	11.51	9.40E-02	1.00E00
isoleucine metabolic process (GO:0006549)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of cellular amino acid metabolic process (GO:0006521)	7	1	.09	+	11.51	9.40E-02	1.00E00
L-glutamate import (GO:0051938)	14	2	.17	+	11.51	1.60E-02	1.00E00
positive thymic T cell selection (GO:0045059)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of DNA demethylation (GO:1901535)	7	1	.09	+	11.51	9.40E-02	1.00E00
histone H4-K12 acetylation (GO:0043983)	7	1	.09	+	11.51	9.40E-02	1.00E00
positive regulation of vascular endothelial cell proliferation (GO:1905564)	7	1	.09	+	11.51	9.40E-02	1.00E00
positive regulation of myelination (GO:0031643)	7	1	.09	+	11.51	9.40E-02	1.00E00
macrophage migration (GO:1905517)	7	1	.09	+	11.51	9.40E-02	1.00E00
sympathetic nervous system development (GO:0048485)	7	1	.09	+	11.51	9.40E-02	1.00E00
intraciliary transport involved in cilium assembly (GO:0035735)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of chemokine-mediated signaling pathway (GO:0070099)	7	1	.09	+	11.51	9.40E-02	1.00E00
positive regulation of granulocyte differentiation (GO:0030854)	7	1	.09	+	11.51	9.40E-02	1.00E00
oligopeptide transmembrane transport (GO:0035672)	7	1	.09	+	11.51	9.40E-02	1.00E00
neuroblast division (GO:0055057)	7	1	.09	+	11.51	9.40E-02	1.00E00
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	7	1	.09	+	11.51	9.40E-02	1.00E00
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	7	1	.09	+	11.51	9.40E-02	1.00E00
L-glutamate transmembrane transport (GO:0015813)	14	2	.17	+	11.51	1.60E-02	1.00E00
regulation of receptor clustering (GO:1903909)	7	1	.09	+	11.51	9.40E-02	1.00E00
siRNA processing (GO:0030422)	7	1	.09	+	11.51	9.40E-02	1.00E00
T cell chemotaxis (GO:0010818)	7	1	.09	+	11.51	9.40E-02	1.00E00
viral mRNA export from host cell nucleus (GO:0046784)	7	1	.09	+	11.51	9.40E-02	1.00E00
endocrine hormone secretion (GO:0060986)	7	1	.09	+	11.51	9.40E-02	1.00E00
error-prone translesion synthesis (GO:0042276)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of mitotic centrosome separation (GO:0046602)	7	1	.09	+	11.51	9.40E-02	1.00E00
regulation of acute inflammatory response to antigenic stimulus (GO:0002864)	7	1	.09	+	11.51	9.40E-02	1.00E00
positive regulation of sister chromatid cohesion (GO:0045876)	7	1	.09	+	11.51	9.40E-02	1.00E00
forebrain regionalization (GO:0021871)	7	1	.09	+	11.51	9.40E-02	1.00E00
T cell activation involved in immune response (GO:0002286)	36	5	.45	+	11.19	1.36E-04	1.20E-01
folic acid-containing compound metabolic process (GO:0006760)	15	2	.19	+	10.75	1.80E-02	1.00E00
regulation of transcription by RNA polymerase III (GO:0006359)	15	2	.19	+	10.75	1.80E-02	1.00E00
T-helper 1 type immune response (GO:0042088)	15	2	.19	+	10.75	1.80E-02	1.00E00
anion homeostasis (GO:0055081)	23	3	.29	+	10.51	3.82E-03	9.33E-01
positive regulation of acute inflammatory response (GO:0002675)	8	1	.10	+	10.07	1.05E-01	1.00E00
rescue of stalled ribosome (GO:0072344)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of response to interferon-gamma (GO:0060330)	8	1	.10	+	10.07	1.05E-01	1.00E00
ureter development (GO:0072189)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of epithelial cell differentiation involved in kidney development (GO:2000696)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of motor neuron apoptotic process (GO:2000672)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of endothelial cell chemotaxis (GO:2001026)	8	1	.10	+	10.07	1.05E-01	1.00E00
immunological synapse formation (GO:0001771)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of T-helper 2 cell cytokine production (GO:2000551)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of telomerase activity (GO:0051974)	8	1	.10	+	10.07	1.05E-01	1.00E00
cellular response to dexamethasone stimulus (GO:0071549)	8	1	.10	+	10.07	1.05E-01	1.00E00
response to dexamethasone (GO:0071548)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of amino acid transport (GO:0051955)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of muscle tissue development (GO:1901862)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of cAMP-dependent protein kinase activity (GO:2000480)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of lymphocyte migration (GO:2000402)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of interferon-beta production (GO:0032688)	8	1	.10	+	10.07	1.05E-01	1.00E00
translocation of molecules into host (GO:0044417)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of kidney development (GO:0090183)	8	1	.10	+	10.07	1.05E-01	1.00E00
bleb assembly (GO:0032060)	8	1	.10	+	10.07	1.05E-01	1.00E00
homocysteine metabolic process (GO:0050667)	8	1	.10	+	10.07	1.05E-01	1.00E00
paraxial mesoderm development (GO:0048339)	8	1	.10	+	10.07	1.05E-01	1.00E00
cellular response to sterol (GO:0036315)	8	1	.10	+	10.07	1.05E-01	1.00E00
cellular response to interferon-alpha (GO:0035457)	8	1	.10	+	10.07	1.05E-01	1.00E00
pre-miRNA processing (GO:0031054)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of striated muscle tissue development (GO:0016202)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of glial cell migration (GO:1903975)	8	1	.10	+	10.07	1.05E-01	1.00E00
middle ear morphogenesis (GO:0042474)	8	1	.10	+	10.07	1.05E-01	1.00E00
secondary palate development (GO:0062009)	8	1	.10	+	10.07	1.05E-01	1.00E00
positive regulation of meiotic cell cycle process involved in oocyte maturation (GO:1904146)	8	1	.10	+	10.07	1.05E-01	1.00E00
monocyte differentiation (GO:0030224)	8	1	.10	+	10.07	1.05E-01	1.00E00
positive regulation of humoral immune response (GO:0002922)	8	1	.10	+	10.07	1.05E-01	1.00E00
cellular response to hydroxyurea (GO:0072711)	8	1	.10	+	10.07	1.05E-01	1.00E00
positive regulation of inflammatory response to antigenic stimulus (GO:0002863)	8	1	.10	+	10.07	1.05E-01	1.00E00
negative regulation of glucose import (GO:0046325)	8	1	.10	+	10.07	1.05E-01	1.00E00
regulation of histone H3-K27 methylation (GO:0061085)	8	1	.10	+	10.07	1.05E-01	1.00E00
T-helper 17 type immune response (GO:0072538)	8	1	.10	+	10.07	1.05E-01	1.00E00
apoptotic process involved in morphogenesis (GO:0060561)	8	1	.10	+	10.07	1.05E-01	1.00E00
CD4-positive, alpha-beta T cell activation (GO:0035710)	42	5	.52	+	9.59	2.62E-04	1.82E-01
regulation of sister chromatid cohesion (GO:0007063)	17	2	.21	+	9.48	2.23E-02	1.00E00
kinetochore organization (GO:0051383)	17	2	.21	+	9.48	2.23E-02	1.00E00
autonomic nervous system development (GO:0048483)	17	2	.21	+	9.48	2.23E-02	1.00E00
positive regulation of T cell cytokine production (GO:0002726)	17	2	.21	+	9.48	2.23E-02	1.00E00
preganglionic parasympathetic fiber development (GO:0021783)	9	1	.11	+	8.95	1.16E-01	1.00E00
striatum development (GO:0021756)	9	1	.11	+	8.95	1.16E-01	1.00E00
glomerular filtration (GO:0003094)	9	1	.11	+	8.95	1.16E-01	1.00E00
regulation of antigen processing and presentation (GO:0002577)	9	1	.11	+	8.95	1.16E-01	1.00E00
oligopeptide transport (GO:0006857)	9	1	.11	+	8.95	1.16E-01	1.00E00
adrenergic receptor signaling pathway (GO:0071875)	9	1	.11	+	8.95	1.16E-01	1.00E00
subpallium development (GO:0021544)	9	1	.11	+	8.95	1.16E-01	1.00E00
regulation of respiratory burst (GO:0060263)	9	1	.11	+	8.95	1.16E-01	1.00E00
regulation of motor neuron apoptotic process (GO:2000671)	9	1	.11	+	8.95	1.16E-01	1.00E00
uterus development (GO:0060065)	9	1	.11	+	8.95	1.16E-01	1.00E00
methionine metabolic process (GO:0006555)	9	1	.11	+	8.95	1.16E-01	1.00E00
chromatin organization (GO:0006336)	9	1	.11	+	8.95	1.16E-01	1.00E00
negative regulation of protein autophosphorylation (GO:0031953)	9	1	.11	+	8.95	1.16E-01	1.00E00
anatomical structure arrangement (GO:0048532)	9	1	.11	+	8.95	1.16E-01	1.00E00
parasympathetic nervous system development (GO:0048486)	9	1	.11	+	8.95	1.16E-01	1.00E00
CD4-positive, alpha-beta T cell lineage commitment (GO:0043373)	9	1	.11	+	8.95	1.16E-01	1.00E00
N-terminal protein amino acid modification (GO:0031365)	18	2	.22	+	8.95	2.45E-02	1.00E00
regulation of sulfur metabolic process (GO:0042762)	9	1	.11	+	8.95	1.16E-01	1.00E00
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	9	1	.11	+	8.95	1.16E-01	1.00E00
regulation of histone H3-K9 trimethylation (GO:1900112)	9	1	.11	+	8.95	1.16E-01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	9	1	.11	+	8.95	1.16E-01	1.00E00
retinal metabolic process (GO:0042574)	9	1	.11	+	8.95	1.16E-01	1.00E00
O-glycan processing (GO:0016266)	9	1	.11	+	8.95	1.16E-01	1.00E00
methionine biosynthetic process (GO:0009086)	9	1	.11	+	8.95	1.16E-01	1.00E00
aspartate family amino acid catabolic process (GO:0009068)	9	1	.11	+	8.95	1.16E-01	1.00E00
melanocyte differentiation (GO:0030318)	9	1	.11	+	8.95	1.16E-01	1.00E00
amino acid import across plasma membrane (GO:0089718)	18	2	.22	+	8.95	2.45E-02	1.00E00
response to hydroxyurea (GO:0072710)	9	1	.11	+	8.95	1.16E-01	1.00E00
deoxyribose phosphate biosynthetic process (GO:0046385)	9	1	.11	+	8.95	1.16E-01	1.00E00
cardiac right ventricle morphogenesis (GO:0003215)	9	1	.11	+	8.95	1.16E-01	1.00E00
regulation of dendritic cell cytokine production (GO:0002730)	9	1	.11	+	8.95	1.16E-01	1.00E00
negative regulation of glycolytic process (GO:0045820)	9	1	.11	+	8.95	1.16E-01	1.00E00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	28	3	.35	+	8.63	6.31E-03	1.00E00
somatic cell DNA recombination (GO:0016444)	28	3	.35	+	8.63	6.31E-03	1.00E00
alpha-beta T cell differentiation (GO:0046632)	47	5	.58	+	8.57	4.23E-04	2.33E-01
Schwann cell differentiation (GO:0014037)	19	2	.24	+	8.48	2.69E-02	1.00E00
mitotic spindle assembly (GO:0090307)	38	4	.47	+	8.48	1.69E-03	6.76E-01
acidic amino acid transport (GO:0015800)	19	2	.24	+	8.48	2.69E-02	1.00E00
positive regulation of oxidative stress-induced cell death (GO:1903209)	10	1	.12	+	8.06	1.27E-01	1.00E00
trachea development (GO:0060438)	10	1	.12	+	8.06	1.27E-01	1.00E00
complement activation, classical pathway (GO:0006958)	10	1	.12	+	8.06	1.27E-01	1.00E00
phagocytosis, recognition (GO:0006910)	10	1	.12	+	8.06	1.27E-01	1.00E00
cranial nerve morphogenesis (GO:0021602)	10	1	.12	+	8.06	1.27E-01	1.00E00
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	10	1	.12	+	8.06	1.27E-01	1.00E00
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	10	1	.12	+	8.06	1.27E-01	1.00E00
mitotic spindle organization (GO:0007052)	70	7	.87	+	8.06	4.24E-05	6.22E-02
pharyngeal system development (GO:0060037)	10	1	.12	+	8.06	1.27E-01	1.00E00
regulation of glycogen biosynthetic process (GO:0005979)	10	1	.12	+	8.06	1.27E-01	1.00E00
mitochondrial DNA replication (GO:0006264)	10	1	.12	+	8.06	1.27E-01	1.00E00
response to cholesterol (GO:0070723)	10	1	.12	+	8.06	1.27E-01	1.00E00
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	10	1	.12	+	8.06	1.27E-01	1.00E00
regulation of muscle organ development (GO:0048634)	10	1	.12	+	8.06	1.27E-01	1.00E00
regulation of positive chemotaxis (GO:0050926)	10	1	.12	+	8.06	1.27E-01	1.00E00
relaxation of muscle (GO:0090075)	10	1	.12	+	8.06	1.27E-01	1.00E00
positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	20	2	.25	+	8.06	2.94E-02	1.00E00
positive regulation of nervous system process (GO:0031646)	10	1	.12	+	8.06	1.27E-01	1.00E00
catechol-containing compound biosynthetic process (GO:0009713)	10	1	.12	+	8.06	1.27E-01	1.00E00
positive regulation of dendrite morphogenesis (GO:0050775)	10	1	.12	+	8.06	1.27E-01	1.00E00
box C/D snoRNP assembly (GO:0000492)	10	1	.12	+	8.06	1.27E-01	1.00E00
sulfur amino acid biosynthetic process (GO:0000097)	10	1	.12	+	8.06	1.27E-01	1.00E00
deoxyribonucleotide biosynthetic process (GO:0009263)	10	1	.12	+	8.06	1.27E-01	1.00E00
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	10	1	.12	+	8.06	1.27E-01	1.00E00
regulation of glucan biosynthetic process (GO:0010962)	10	1	.12	+	8.06	1.27E-01	1.00E00
intracellular estrogen receptor signaling pathway (GO:0030520)	10	1	.12	+	8.06	1.27E-01	1.00E00
serine family amino acid catabolic process (GO:0009071)	10	1	.12	+	8.06	1.27E-01	1.00E00
catecholamine biosynthetic process (GO:0042423)	10	1	.12	+	8.06	1.27E-01	1.00E00
negative regulation of glucose transmembrane transport (GO:0010829)	10	1	.12	+	8.06	1.27E-01	1.00E00
platelet activation (GO:0030168)	30	3	.37	+	8.06	7.52E-03	1.00E00
positive regulation of glycoprotein biosynthetic process (GO:0010560)	10	1	.12	+	8.06	1.27E-01	1.00E00
positive regulation of smooth muscle contraction (GO:0045987)	10	1	.12	+	8.06	1.27E-01	1.00E00
positive regulation of type 2 immune response (GO:0002830)	10	1	.12	+	8.06	1.27E-01	1.00E00
positive regulation of vasoconstriction (GO:0045907)	10	1	.12	+	8.06	1.27E-01	1.00E00
regulation of chromosome condensation (GO:0060623)	10	1	.12	+	8.06	1.27E-01	1.00E00
epigenetic maintenance of chromatin in transcription-competent conformation (GO:0045815)	10	1	.12	+	8.06	1.27E-01	1.00E00
pteridine-containing compound metabolic process (GO:0042558)	21	2	.26	+	7.68	3.19E-02	1.00E00
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	21	2	.26	+	7.68	3.19E-02	1.00E00
somatic diversification of immune receptors (GO:0002200)	33	3	.41	+	7.33	9.59E-03	1.00E00
positive regulation of animal organ morphogenesis (GO:0110110)	11	1	.14	+	7.33	1.38E-01	1.00E00
regulation of mammary gland epithelial cell proliferation (GO:0033599)	11	1	.14	+	7.33	1.38E-01	1.00E00
positive regulation of glycoprotein metabolic process (GO:1903020)	11	1	.14	+	7.33	1.38E-01	1.00E00
alpha-beta T cell lineage commitment (GO:0002363)	11	1	.14	+	7.33	1.38E-01	1.00E00
icosanoid transport (GO:0071715)	11	1	.14	+	7.33	1.38E-01	1.00E00
regulation of histone H3-K9 acetylation (GO:2000615)	11	1	.14	+	7.33	1.38E-01	1.00E00
negative regulation of mononuclear cell migration (GO:0071676)	11	1	.14	+	7.33	1.38E-01	1.00E00
cell fate determination (GO:0001709)	11	1	.14	+	7.33	1.38E-01	1.00E00
regulation of nuclear cell cycle DNA replication (GO:0033262)	11	1	.14	+	7.33	1.38E-01	1.00E00
NIK/NF-kappaB signaling (GO:0038061)	22	2	.27	+	7.33	3.45E-02	1.00E00
positive regulation of interleukin-12 production (GO:0032735)	22	2	.27	+	7.33	3.45E-02	1.00E00
